# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE61016|atac_seq|Mus musculus|6|GSE61016_RAW.tar(1.6GB)|cancer,epigenetics|DOT1L Inhibits SIRT1 and SUV39H1-Mediated H3K9 Modification to Maintain Gene Expression (ATACseq)|Methylation histone lysine H3K79 broadly active eukaryotes methyltransferase indispensable specific leukemia subtypes like MLL-translocations suppression deacetylase rescued MLL-AF9 cells dependence|
GSE64709|atac_seq|Mus musculus|1|GSE64709_RAW.tar(8MB)|immunology,development,epigenetics,gene_regulation|Transcription dependent generation of a specialized chromatin structure at the TCRb locus|recombination assembles antigen receptor genes lymphocyte development Enhancers loci control alleles part increasing accessibility order allow machinery gain access chromosomal substrates specific|
GSE52941|atac_seq|Homo sapiens|15|GSE52941_CIITA.peaks.annotated.txt.gz(24KB), GSE52941_RAW.tar(3.5GB)|immunology,epigenetics,gene_regulation|CIITA regulated genes in human B cells|MHC class transactivator essential expression MHC-II transcriptional activator bound repressive reported loci other types define regulation ChIP-seq three independent antibodies histone marks H3K4me3|
GSE60665|atac_seq|Homo sapiens|11|GSE60665_RAW.tar(5.8GB)|cancer,development,epigenetics,drug_response|Decoding the regulatory landscape of melanoma reveals TEADS as regulators of the invasive cell state.|Understanding molecular processes intra-tumor heterogeneity critical importance improve efficiency therapy overcome drug resistance malignant though arise least partly epigenetic rather genetic|
GSE60663|atac_seq|Homo sapiens|24|GSE60663_RAW.tar(4.6GB)|cancer,development,epigenetics,drug_response|Decoding the regulatory landscape of melanoma reveals TEADS as regulators of the invasive cell state.|Understanding molecular processes intra-tumor heterogeneity critical importance improve efficiency therapy overcome drug resistance malignant though arise least partly epigenetic rather genetic|
GSE59530|atac_seq|Homo sapiens|40|GSE59530_RAW.tar(7.4GB)|cancer,immunology,epigenetics,signal_transduction|TNFα Signaling Exposes Latent Estrogen Receptor Binding Sites in Breast Cancer Cells [ChIP-seq]|interplay mitogenic proinflammatory pathways play key determining phenotypes clinical outcomes cancers global nuclear run-on coupled deep sequencing characterize immediate transcriptional responses|
GSE64058|atac_seq|Mus musculus|1|GSE64058_RAW.tar(1.2GB)|development,epigenetics,crispr_gene_editing,gene_regulation|Rapid functional annotation of native enhancers in embryonic stem cells with a Neisseria meningitidis CRISPR-Cas9 system (ATAC-Seq)|Gene regulatory elements profound effects cellular health disease understanding mammalian limited lack technology allow thorough test type-specific describe novel Cas9-effector enables testing|
GSE59078|atac_seq|Drosophila melanogaster|13|GSE59078_All_ATAC-Seq_FAIRE-Seq_Merged_Peaks.bed.gz(392KB), GSE59078_All_ATAC-Seq_FAIRE-Seq.rawCounts.txt.gz(865KB), GSE59078_RAW.tar(899MB)|cancer,development,epigenetics,kidney,gene_regulation|Discovery of Transcription Factors and Regulatory Regions Driving In Vivo Tumor Development by ATAC-seq and FAIRE-seq Open Chromatin Profiling|Genomic enhancers regulate spatio-temporal gene expression recruiting specific combinations TFs bound active displace canonical nucleosomes making biochemically detectable nucleosome-depleted|
GSE64929|atac_seq|Homo sapiens|2|GSE64929_RAW.tar(3.3GB)|cancer,epigenetics|The role of DNA methylation on the organization of the cancer epigenome|assess global chromatin accessibility following high salt wash|
GSE59782|atac_seq|Homo sapiens|2|GSE59782_REP_DHS.bed.gz(989KB)|development,epigenetics,reproduction|Open chromatin mapping identifies transcriptional networks regulating human epididymis epithelial function [Dnase-Seq]|epithelium lining male reproductive tract maintains luminal environment promotes sperm cell maturation process dependent coordinated expression many genes encode proteins transport previously|
