# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE76483|other_multiomics|Mus musculus|192|GSE76483_FPKM_table.txt.gz(2MB), GSE76483_matched_genebody_methylation.txt.gz(580KB), GSE76483_matched_promoter_methylation.txt.gz(469KB), GSE76483_Read_count_merged_table_GSM2099935-GSM2099952.txt.gz(298KB)|neuroscience,development|Simultaneous profiling of transcriptome and DNA methylome from a single cell|developed new sequencing method simultaneously sequence mouse DRG neurons|multiomics
GSE100501|cite_seq|Homo sapiens|31|GSE100501_RAW.tar(50MB)|immunology,development,drug_response|The dynamics of cellular response to therapeutic perturbation using multiplexed quantification of the proteome and transcriptome at single-cell resolution|developed scalable assay permitting simultaneous hundreds proteins full thousands individual cells samples number limiting RNA Expression Protein Sequencing REAP-seq uses DNA-labeled antibodies|multiomics
GSE100866|cite_seq|Homo sapiens|12|GSE100866_CBMC_8K_13AB_10X-ADT_clr-transformed.csv.gz(945KB), GSE100866_CBMC_8K_13AB_10X-ADT_umi.csv.gz(190KB), GSE100866_CBMC_8K_13AB_10X-RNA_umi.csv.gz(14MB), GSE100866_CD8_merged-ADT_clr-transformed.csv.gz(58KB), GSE100866_CD8_merged-ADT_umi.csv.gz(19KB), GSE100866_CD8_merged-RNA_umi.csv.gz(1MB), GSE100866_PBMC_vs_flow_10X-ADT_clr-transformed.csv.gz(467KB), GSE100866_PBMC_vs_flow_10X-ADT_umi.csv.gz(129KB), GSE100866_PBMC_vs_flow_10X-RNA_umi.csv.gz(10MB)|immunology|CITE-seq: Large scale simultaneous measuremnt of epitopes and transcriptomes in single cells|Recent high-throughput single-cell sequencing approaches transformative understanding complex populations unable additional phenotypic information protein levels cell-surface markers|multiomics
GSE109262|other_multiomics|synthetic construct; Mus musculus|244|GSE109262_EB_RNA_counts.txt.gz(603KB), GSE109262_ESC_RNA_counts.txt.gz(1MB), GSE109262_RAW.tar(4.6GB)|epigenetics,skeletal_muscle|Joint profiling of chromatin accessibility, DNA methylation and transcription in single cells|Parallel single-cell sequencing protocols represent powerful methods investigating regulatory relationships epigenome-transcriptome interactions report first method transcriptome scNMT-seq nucleosome|multiomics
GSE114242|other_multiomics|Mus musculus; Homo sapiens|20|[GEO:RTF, TXT]|neuroscience,development,epigenetics|Higher-order inter-chromosomal hubs shape 3-dimensional genome organization in the nucleus|develop Split-Pool Recognition Interactions Tag Extension SPRITE enables genome-wide detection occur simultaneously within proximity-ligation independent manner generated maps two mammalian cell|multiomics
GSE117089|other_multiomics|Homo sapiens; Mus musculus|6|GSE117089_RAW.tar(232MB), GSE117089_README_filenames_to_SRR.txt(113KB), GSE117089_README.txt(5KB)|cancer,epigenetics,kidney,skeletal_muscle|Joint profiling of chromatin accessibility and gene expression in thousands of single cells|describe sci-CAR combinatorial indexing strategy jointly profile mRNA proof-of-concept apply 825 comprising time-series dexamethasone treatment 233 mouse kidney|multiomics
GSE119171|other_multiomics|Mus musculus|48|GSE119171_F123.mESC.MethylHic.mapQ30.25k_res.enhancedHicMatrix.txt.gz(30KB), GSE119171_F123.MethylHic.mm9.calmd.cpg.filtered.sort.CG.strand.6plus2.bed.gz(229MB), GSE119171_F123.MethylHic.mm9.calmd.long.hic.mapQ30.10k_res.all_chr.hiccups.txt.gz(195KB), GSE119171_F123.MethylHic.mm9.calmd.long.hic.mapQ30.10k_res.methy_corr.minMapQ30.methyCor.txt.gz(196KB), GSE119171_F123.MethylHic.mm9.calmd.long.hic.mapQ30.25k_res.all_chr.hiccups.txt.gz(234KB), GSE119171_F123.MethylHic.mm9.calmd.long.hic.mapQ30.25k_res.methy_corr.minMapQ30.methyCor.txt.gz(449KB), GSE119171_F123.MethylHic.mm9.calmd.long.hic.mapQ30.5k_res.all_chr.hiccups.txt.gz(199KB), GSE119171_F123.MethylHic.mm9.calmd.long.hic.mapQ30.5k_res.methy_corr.minMapQ30.methyCor.txt.gz(163KB), GSE119171_JL.merged.sorted.nodup.long.juice.q30.hic(945MB), GSE119171_RAW.tar(873MB)|development,epigenetics|Long-range epigenetic concordance revealed by simultaneous profiling of DNA methylation and chromosomal conformation changes in bulk and single cell Methyl-HiC|Genomic sequences covalent modifications spatially organized three-dimensional structures developed combining situ Hi-C whole genome bisulfite sequencing WGBS simultaneously capture genome-wide|multiomics
GSE126310|cite_seq|Mus musculus; Homo sapiens|24|GSE126310_RAW.tar(125MB)|crispr_gene_editing,gene_regulation|Expanding the CITE-seq tool-kit: Detection of proteins, transcriptomes, clonotypes and CRISPR perturbations with multiplexing, in a single assay|Multi-modal single-cell assays high-resolution snapshots complex cell populations mostly limited plus additional modality describe Expanded CRISPR-compatible Cellular Indexing Epitopes sequencing|multiomics
GSE126074|multiome|Mus musculus; Homo sapiens|36|GSE126074_AdBrainCortex_SNAREseq_cDNA.barcodes.tsv.gz(48KB), GSE126074_AdBrainCortex_SNAREseq_cDNA.counts.mtx.gz(28MB), GSE126074_AdBrainCortex_SNAREseq_cDNA.genes.tsv.gz(94KB), GSE126074_AdBrainCortex_SNAREseq_chromatin.barcodes.tsv.gz(54KB), GSE126074_AdBrainCortex_SNAREseq_chromatin.counts.mtx.gz(78MB), GSE126074_AdBrainCortex_SNAREseq_chromatin.peaks.tsv.gz(2MB), GSE126074_CellLineMixture_SNAREseq_cDNA_counts.tsv.gz(917KB), GSE126074_CellLineMixture_SNAREseq_chromatin_counts.tsv.gz(5MB), GSE126074_P0_BrainCortex_SNAREseq_cDNA.barcodes.tsv.gz(22KB), GSE126074_P0_BrainCortex_SNAREseq_cDNA.counts.mtx.gz(5MB), GSE126074_P0_BrainCortex_SNAREseq_cDNA.genes.tsv.gz(54KB), GSE126074_P0_BrainCortex_SNAREseq_chromatin.barcodes.tsv.gz(22KB), GSE126074_P0_BrainCortex_SNAREseq_chromatin.counts.mtx.gz(40MB), GSE126074_P0_BrainCortex_SNAREseq_chromatin.peaks.tsv.gz(2MB)|neuroscience,development,epigenetics|Simultaneous profiling of transcriptome and chromatin accessibility in single nucleus|describe SNARE-seq droplet-based method simultaneously profile gene expression thousands nuclei Employing profiled 1047 human cell line mixture 5081 10309 neonatal adult mouse brain|multiomics
GSE131421|other_multiomics|Homo sapiens|4|[GEO:TXT]|crispr_gene_editing|Massively parallel profiling and predictive modeling of the outcomes of CRISPR/Cas9-mediated double-strand break repair|Non-homologous end-joining NHEJ plays important DSB DNA Recent error patterns strongly biased sequence context relatively few templates investigate more thoroughly systematically profiled million|multiomics
GSE128639|cite_seq|Homo sapiens|4|GSE128639_MNC_ADT_Barcodes.csv.gz(569B), GSE128639_MNC_BULK_RNA_SampleIndices.csv.gz(195B), GSE128639_MNC_HTO_Barcodes.csv.gz(259B), GSE128639_RAW.tar(38MB)|immunology,neuroscience,epigenetics|Comprehensive integration of single-cell data|transcriptomics scRNA-seq transformed ability discover annotate types states deep biological understanding requires more taxonomic listing clusters new methods arise measure distinct cellular|multiomics
