# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE79920|single-nucleus|Homo sapiens|254|GSE79920_63_nuclei_merged_count_for_lncRNA.txt.gz(746KB), GSE79920_63_nuclei_merged_count.txt.gz(684KB), GSE79920_63_nuclei_merged_TPM_for_lncRNA.txt.gz(984KB), GSE79920_63_nuclei_merged_TPM.txt.gz(910KB), GSE79920_74_myob_cell_vs_nucleus_merged_count_for_lncRNA.txt.gz(1MB), GSE79920_74_myob_cell_vs_nucleus_merged_TPM_for_lncRNA.txt.gz(1MB), GSE79920_merged_count_74_cell_vs_nucleus.txt.gz(1004KB), GSE79920_merged_count_with_genename_and_pseudocount_with_genetype.txt.gz(3MB), GSE79920_merged_TPM_74_cell_vs_nucleus.txt.gz(1MB), GSE79920_merged_TPM_with_genename_and_pseudocount_with_genetype.txt.gz(4MB)|development,skeletal_muscle|Single-nucleus RNA-seq on undifferentiated human KD3 myoblasts and differentiated myotubes and mononucleated cells.|report application single-nucleus-based sequencing technology high-throughput profiling transcriptome immortazalized obtaining over sixty billion bases sequence mRNA generated comprehensive profiles|
GSE77067|single-nucleus|Mus musculus|201|GSE77067_sn_hc_counts.txt.gz(329KB), GSE77067_sn_hc_tpm.txt.gz(406KB), GSE77067_sn_ne_counts.txt.gz(2MB), GSE77067_sn_ne_tpm.txt.gz(2MB), GSE77067_wc_counts.txt.gz(1MB), GSE77067_wc_tpm.txt.gz(2MB)|neuroscience|RNA-sequencing of single whole cells and nuclei from mouse dentate granule cells|Single-cell methods emerged powerful tools identification heterogeneous types within defined brain regions Application techniques transcriptome activated neurons offer insight molecular dynamics|
GSE85721|single-nucleus|Mus musculus|924|GSE85721_PROCESSED_data.sNuc-Seq_Data_RSEM_log_TPM.for_GEO.txt.gz(15MB)|neuroscience,epigenetics,gene_regulation,signal_transduction|Single nuclei RNA-seq from adult mouse Hippocampus|report isolated C57BL/6 male region Majority weeks old mice different animal additional set months years animals addition GFP labeled driven VGAT promoter|
GSE84371|single-nucleus|Mus musculus|924|no_suppl|neuroscience|Div-Seq: Single-nucleus RNA-Seq reveals dynamics of rare adult newborn neurons|SuperSeries composed SubSeries listed|
GSE97942|single-nucleus|Homo sapiens|49|GSE97942_RAW.tar(57.9GB)|neuroscience,epigenetics|Integrative single-cell analysis of transcriptional and epigenetic states in the human adult brain|Detailed characterization types requires scalable experimental approaches examine multiple aspects molecular individual cells computational integration produce unified cell-state annotations report|
GSE97930|single-nucleus|Homo sapiens|46|GSE97930_CerebellarHem_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz(6MB), GSE97930_FrontalCortex_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz(12MB), GSE97930_README.txt(3KB), GSE97930_VisualCortex_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz(27MB)|neuroscience,epigenetics|Integrative single-cell analysis of transcriptional and epigenetic states in the human adult brain [snDrop-seq]|Detailed characterization types requires scalable experimental approaches examine multiple aspects molecular individual cells computational integration produce unified cell-state annotations report|
GSE106678|single-nucleus|Mus musculus|19|GSE106678_RAW.tar(75MB)|neuroscience,development,cell_stress|Dissecting cell-type composition and activity-dependent transcriptional state in mammalian brains by massively parallel single-nucleus RNA-Seq|single-cell sequencing precisely resolve cellular diversity high-throughput manner low cost unbiased isolation intact cells complex tissues adult challenging integrate sucrose-gradient assisted|
GSE104525|single-nucleus|Mus musculus|10|GSE104525_Mouse_Processed_GTEx_Data.DGE.UMI-Counts.txt.gz(17MB)|neuroscience,infectious_disease,signal_transduction|Single nuclei RNA-seq using droplet microfluidics (DroNc-seq)|report application archived tissue mouse adult hippocampus cortex barin regions|
GSE110823|single-nucleus|Homo sapiens; Mus musculus|6|GSE110823_RAW.tar(257MB)|neuroscience,development|Single cell profiling of the developing mouse brain and spinal cord with split-pool barcoding|facilitate scalable cells developed Ligation-based Transcriptome sequencing SPLiT-seq single-cell RNA-seq scRNA-seq method labels cellular origin RNA combinatorial compatible fixed nuclei allows|
GSE103892|single-nucleus|Mus musculus|24|GSE103892_Expression_Count_Matrix.txt.gz(24MB), GSE103892_Sample_Cell_Cluster_Information.txt.gz(112KB)|neuroscience,development|Massively Parallel Single Nucleus Transcriptional Profiling Defines Spinal Cord Cell Types and Their Activity During Behavior|understand cellular basis necessary know cells exist nervous system contributions networks essential sensory processing motor correlates understood developed RNA sequencing technique first create|
GSE100033|single-nucleus|Mus musculus; Homo sapiens|11|GSE100033_RAW.tar(306MB)|neuroscience,development,epigenetics,gene_regulation|Single-nucleus analysis of accessible chromatin in developing mouse forebrain reveals cell-type-specific transcriptional regulation|accessibility regulatory sequences heterogeneity primary tissues poses challenge mapping precise landscape types report ATAC-seq combinatorial barcoding-assisted single-cell assay|
GSE99822|single-nucleus|Homo sapiens|96|GSE99822_HEK_96_umi.txt.gz(956KB)||zUMIs: a fast and flexible pipeline for RNA sequencing data with UMIs|Background Single-cell RNA-sequencing scRNA-seq experiments typically analyze hundreds thousands cells amplification cDNA high throughput made possible early introduction sample-specific bar codes|
GSE114156|single-nucleus|Homo sapiens|1|GSE114156_Human.kidney.dge.txt.gz(7MB)|kidney|Single nucleus inDrops to profile adult human kidney||
GSE117893|single-nucleus|Mus musculus|2|GSE117893_Merged_ctrl_Pitx2CKO_raw_data_snRNAseq.txt.gz(17MB)|cardiovascular,metabolism,fibrosis_wound,skeletal_muscle|Pitx2 maintains mitochondrial function during regeneration to prevent myocardial fat deposition|single nuclear RNA-seq snRNA-seq control deficient cardiac tissue weeks post infarction Next unsupervised graph-based clustering combined set mapped introns exons comprising 7848 cells Overall nine|
GSE98679|single-nucleus|Mus musculus|912|GSE98679_additionalmeta_descriptions_v2.xlsx(9KB), GSE98679_count.txt.gz(5MB), GSE98679_tpm.txt.gz(17MB), GSE98679_v2_GSM3308862-GSM3309413_count.txt.gz(6MB), GSE98679_v2_GSM3308862-GSM3309413_tpm.txt.gz(21MB)|neuroscience,signal_transduction|Hippocampal single-nucleus sequencing identifies a unique transcriptional signature that is predictive of reactivity in dentate granule neurons|Neuronal circuits constantly remodeled response extent specificity activity-induced unknown RNA-seq compare responses throughout hippocampus following exposure novel environment comparing activated|
GSE123454|single-nucleus|Mus musculus|956|GSE123454_cells_exon_counts.csv.gz(7MB), GSE123454_cells_intron_counts.csv.gz(5MB), GSE123454_controls_exon_counts.csv.gz(484KB), GSE123454_controls_intron_counts.csv.gz(319KB), GSE123454_GEO_seq_template_v2.1_Nuc_vs_Cell.xls.gz(165KB), GSE123454_nuclei_exon_counts.csv.gz(5MB), GSE123454_nuclei_intron_counts.csv.gz(4MB)|neuroscience,infectious_disease,eye_vision|Single-nucleus and single-cell transcriptomes compared in matched cortical cell types|Transcriptomic profiling complex tissues RNA-sequencing snRNA-seq affords advantages over scRNA-seq less biased cellular coverage appear suffer isolation-based transcriptional artifacts applied|
GSE113902|single-nucleus|Homo sapiens|6|GSE113902_Rett1_var_allX_cat.vcf.gz(384KB), GSE113902_Rett2_var_allX_cat.vcf.gz(317KB), GSE113902_Rett3_var_allX_cat.vcf.gz(395KB)|immunology,neuroscience|Characterization of human mosaic Rett syndrome brain tissue by single-nucleus RNA sequencing (Total RNA sequencing)|females X-linked genetic disorders wild-type mutant cells coexist within because random X-chromosome inactivation cellular mosaicism leads phenotypic variability poses challenges interpreting effects|
GSE113901|single-nucleus|Mus musculus; Homo sapiens|10|GSE113901_demultiplexing.xlsx(10KB), GSE113901_female_mouse_mecp2_counts.csv.gz(26MB), GSE113901_human_rett_counts.csv.gz(47MB), GSE113901_male_mouse_mecp2_counts.csv.gz(21MB)|immunology,neuroscience|Characterization of human mosaic Rett syndrome brain tissue by single-nucleus RNA sequencing (Single-cell or single-nuclei RNA sequencing)|females X-linked genetic disorders wild-type mutant cells coexist within because random X-chromosome inactivation cellular mosaicism leads phenotypic variability poses challenges interpreting effects|
GSE113673|single-nucleus|Homo sapiens; Mus musculus|20|no_suppl|neuroscience|Characterization of human mosaic Rett syndrome brain tissue by single-nucleus RNA sequencing|SuperSeries composed SubSeries listed|
GSE119531|single-nucleus|Mus musculus|5|GSE119531_Healthy.combined.cell.annotation.txt.gz(61KB), GSE119531_Healthy.combined.dge.txt.gz(14MB), GSE119531_README_demultiplexing_rawfiles.txt(1KB), GSE119531_UUO.cell.annotation.txt.gz(35KB), GSE119531_UUO.dge.txt.gz(6MB)|kidney,cell_stress|Advantages of single nucleus over single cell RNA-seq in adult kidney|key limitation genomics generating high-quality suspension contains rare difficult dissociate types free degradation transcriptional stress responses Samples unpredictable availability must collected|
