# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE66688|spatial|Danio rerio|1152|GSE66688_zdata.expMatrix.txt.gz(5MB)|development|Spatial reconstruction of single-cell gene expression|localization key determinant cellular fate behavior RNA assays traditionally rely staining limited number species contrast RNA-seq allows deep profiling established methods separate cells native|
GSE67685|spatial|Homo sapiens|1|GSE67685_RAW.tar(6MB)|aging|Spatially resolved, highly multiplexed RNA profiling in single cells|Knowledge expression profile landscape transcriptome individual essential understanding rich repertoire cellular behaviors report error-robust fluorescence situ hybridization MERFISH single-molecule|
GSE65924|spatial|Mus musculus|192|GSE65924_E1.gene.expression.txt.gz(2MB), GSE65924_E1_mapping.ratio.xlsx(18KB), GSE65924_E2.gene.expression.txt.gz(2MB), GSE65924_E2_mapping.ratio.xlsx(18KB), GSE65924_E3.gene.expression.txt.gz(2MB), GSE65924_E3_mapping.ratio.xlsx(26KB), GSE65924_E7.0.single.cell.gene.expression.txt.gz(2MB)|immunology,development|Stereo-sequencing: 3D Transcriptome of the mouse embryo at gastrulation|glean appreciation holistic genetic activity gastrulating genome-wide spatial low-cell number protocol laser microdissected samples epiblast cells retained positional address reveals partitioned|
GSE104292|spatial|Mus musculus|34|GSE104292_RAW.tar(280MB)|development,rna_biology|Spatiotemporal role of the lncRNA Evx1as in embryonic patterning|spatial transcriptome cryosections gastrulating embryos low-input sequencing Geo-seq Careful transcriptomic plays transient regulating gastrulation dispensable overall development survival Altogether|
GSE103239|spatial|Homo sapiens|465|no_suppl|development|Tracing the temporal-spatial transcriptomic landscapes of the human fetal digestive tract by single cell RNA-seq analysis|SuperSeries composed SubSeries listed|
GSE103154|spatial|Homo sapiens|20|GSE103154_All_Merge_umi_tpm_gene.txt.gz(24MB), GSE103154_README.xlsx(12KB)|immunology,development,gut_intestine|Tracing the temporal-spatial transcriptomic landscapes of the human fetal digestive tract by single cell RNA-seq analysis [adult tissues]|modified STRT-seq protocol analyzed large intestine two adults detail total 1891 cells picked rigorous filtration 1463 individual subsequent types main existed enterocyte goblet enteroendocrine|
GSE95630|spatial|Homo sapiens|445|GSE95630_Digestion_TPM_new.txt.gz(75MB), GSE95630_README_barcodes.xlsx(97KB)|development,gut_intestine|Tracing the temporal-spatial transcriptomic landscapes of the human fetal digestive tract by single cell RNA-seq analysis [fetal tissues]|development digestion critical proper food absorbance nutrient individual includes segregation esophagus stomach small large intestine gene expression profiles vivo never analyzed single-cell|
GSE114723|spatial|Caenorhabditis elegans|10|GSE114723_CEL-seq.1.demultiplexing.barcodes.pdf(63KB), GSE114723_RAW.tar(13MB)|development|Spatial Transcriptomics of C. elegans Males and Hermaphrodites Identifies Sex-Specific Differences in Gene Expression Patterns|advance understanding genetic programs drive cell tissue specialization necessary obtain comprehensive overview generate high-resolution anteroposterior maps explore developed computational methods|
GSE116008|spatial|Homo sapiens|97|GSE116008_all_fwd.norm.avg.bw.tar.gz(1.6GB), GSE116008_all_rev.norm.avg.bw.tar.gz(1.6GB), GSE116008_all_sorted.norm_avg.bw.tar.gz(3.3GB), GSE116008_APEX_seq_counts_all_data_polyA_hek293t.txt.gz(1MB), GSE116008_APEX_seq_counts_mito_data_hek293t.txt.gz(441KB), GSE116008_APEX_seq_counts_omm_nes_drug_polyA_hek293t.txt.gz(1MB), GSE116008_APEX_seq_counts_omm_nes_nocodazole_polyA_hek293t.txt.gz(1MB), GSE116008_APEX_seq_deseq2_all_data_polyA_hek293t.txt.gz(2MB), GSE116008_APEX_seq_deseq2_omm_nes_drug_polyA_hek293t.txt.gz(3MB), GSE116008_APEX_seq_deseq2_omm_nes_nocodazole_polyA_hek293t.txt.gz(4MB), GSE116008_Fractionation_counts_polyA_hek293t.txt.gz(356KB)|rna_biology|Atlas of Subcellular RNA Localization Revealed by APEX-seq|introduce method sequencing direct proximity labeling peroxidase enzyme APEX2 nine distinct locales produced nanometer-resolution spatial map human transcriptome resource revealing extensive patterns|
GSE129732|spatial|Homo sapiens|6|GSE129732_local_RNA_connectivity.xlsx(448KB), GSE129732_Monte_Carlo_Simulation_Results.txt.gz(14MB), GSE129732_Pools_2_5_8_simulation_format_combined_file.txt.gz(395MB)|epigenetics|RNA proximity sequencing reveals properties of spatial transcriptome organization in the nucleus|transcriptomics aims understand ensemble molecules tissues cells organized space introduce RNA-seq identifies co-localization preferences pairs groups chromatin-associated nuclear-retained nascent|
GSE120509|spatial|Danio rerio|72|GSE120509_M.FilterProteinCoding.AllCounts.Normalized.FPKM.txt.gz(3MB), GSE120509_Z.FilterProteinCoding.Counts.Normalized.FPKM.txt.gz(3MB)|hematopoiesis|Multi-dimensional transcriptome analysis of an intact hematopoietic organ for HSPC expansion [RNA-seq]|decode complexed controlling HSC viewpoint systems biology spatial dissecting whole CHT|
GSE130682|spatial|Mus musculus|3|GSE130682_RAW.tar(867MB)|development|High-density spatial transcriptomics arrays for in situ tissue profiling|relies precise organization cells characterized distinct molecular profiles Single-cell RNA-Seq captures Conversely assays date lacked global transcriptome information throughput resolution develop|
GSE135805|spatial|Homo sapiens|4|GSE135805_RAW.tar(710KB)|cardiovascular,hematopoiesis,plant_biology|Spatial Transcriptomics of Human Cardiac Tissue|Transplanted healthy explanted heart sections affected different failure etiologies gene expression differences technology|
GSE123187|spatial|Homo sapiens; Mus musculus|92|GSE123187_hG01_trim_star_spliced.coutb.tsv.gz(593KB), GSE123187_hG01_trim_star_spliced.coutc.tsv.gz(20KB), GSE123187_hG01_trim_star_spliced.coutt.tsv.gz(831KB), GSE123187_hG02_trim_star_spliced.coutb.tsv.gz(566KB), GSE123187_hG02_trim_star_spliced.coutc.tsv.gz(20KB), GSE123187_hG02_trim_star_spliced.coutt.tsv.gz(779KB), GSE123187_mG01_trim_star_spliced.coutb.tsv.gz(290KB), GSE123187_mG01_trim_star_spliced.coutc.tsv.gz(484KB), GSE123187_mG01_trim_star_spliced.coutt.tsv.gz(628KB), GSE123187_mG02_trim_star_spliced.coutb.tsv.gz(296KB), GSE123187_mG02_trim_star_spliced.coutc.tsv.gz(492KB), GSE123187_mG02_trim_star_spliced.coutt.tsv.gz(636KB), GSE123187_mG03_trim_star_spliced.coutb.tsv.gz(285KB), GSE123187_mG03_trim_star_spliced.coutc.tsv.gz(462KB), GSE123187_mG03_trim_star_spliced.coutt.tsv.gz(588KB), GSE123187_mG04_trim_star_spliced.coutb.tsv.gz(378KB), GSE123187_mG04_trim_star_spliced.coutc.tsv.gz(2MB), GSE123187_mG04_trim_star_spliced.coutt.tsv.gz(2MB), GSE123187_mG05_trim_star_spliced.coutb.tsv.gz(369KB), GSE123187_mG05_trim_star_spliced.coutc.tsv.gz(1MB), GSE123187_mG05_trim_star_spliced.coutt.tsv.gz(2MB), GSE123187_RAW.tar(351MB), GSE123187_README.txt(8KB), GSE123187_SvdB12f2-6-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutb.tsv.gz(2MB), GSE123187_SvdB12f2-6-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutc.tsv.gz(382KB), GSE123187_SvdB12f2-6-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutt.tsv.gz(3MB), GSE123187_SvdB12f2-7-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutb.tsv.gz(2MB), GSE123187_SvdB12f2-7-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutc.tsv.gz(377KB), GSE123187_SvdB12f2-7-CELSEQ2-5dAA-Bulk-mGstrlds-Run1-2_cbc_trimmed_star_ie_spliced.coutt.tsv.gz(3MB), GSE123187_SvdB12h1-2-1-Tomo-20um-E7p75MouseEmbryo-Plate1-Run1Run2_cbc_trimmed_star_spliced.coutb.tsv.gz(1MB), GSE123187_SvdB12h1-2-1-Tomo-20um-E7p75MouseEmbryo-Plate1-Run1Run2_cbc_trimmed_star_spliced.coutc.tsv.gz(1MB), GSE123187_SvdB12h1-2-1-Tomo-20um-E7p75MouseEmbryo-Plate1-Run1Run2_cbc_trimmed_star_spliced.coutt.tsv.gz(3MB), GSE123187_SvdB12h1-2-2-Tomo-20um-E7p75MouseEmbryo-Plate2-Run1Run2_cbc_trimmed_star_spliced.coutb.tsv.gz(2MB), GSE123187_SvdB12h1-2-2-Tomo-20um-E7p75MouseEmbryo-Plate2-Run1Run2_cbc_trimmed_star_spliced.coutc.tsv.gz(1MB), GSE123187_SvdB12h1-2-2-Tomo-20um-E7p75MouseEmbryo-Plate2-Run1Run2_cbc_trimmed_star_spliced.coutt.tsv.gz(3MB), GSE123187_SvdB12h-2-2-Tomo-20um-E8p85MouseEmbryo2-Plate1-Run1_cbc_trimmed_star_spliced.coutb.tsv.gz(1MB), GSE123187_SvdB12h-2-2-Tomo-20um-E8p85MouseEmbryo2-Plate1-Run1_cbc_trimmed_star_spliced.coutc.tsv.gz(1MB), GSE123187_SvdB12h-2-2-Tomo-20um-E8p85MouseEmbryo2-Plate1-Run1_cbc_trimmed_star_spliced.coutt.tsv.gz(2MB), GSE123187_SvdB12h2-3-1-Tomo-20um-E8p75MouseEmbryo-Plate1-Run1Run2_cbc_trimmed_star_spliced.coutb.tsv.gz(1MB), GSE123187_SvdB12h2-3-1-Tomo-20um-E8p75MouseEmbryo-Plate1-Run1Run2_cbc_trimmed_star_spliced.coutc.tsv.gz(1MB), GSE123187_SvdB12h2-3-1-Tomo-20um-E8p75MouseEmbryo-Plate1-Run1Run2_cbc_trimmed_star_spliced.coutt.tsv.gz(3MB), GSE123187_SvdB12h2-3-2-Tomo-20um-E8p75MouseEmbryo-Plate2-Run1Run2_cbc_trimmed_star_spliced.coutb.tsv.gz(2MB), GSE123187_SvdB12h2-3-2-Tomo-20um-E8p75MouseEmbryo-Plate2-Run1Run2_cbc_trimmed_star_spliced.coutc.tsv.gz(2MB), GSE123187_SvdB12h2-3-2-Tomo-20um-E8p75MouseEmbryo-Plate2-Run1Run2_cbc_trimmed_star_spliced.coutt.tsv.gz(3MB), GSE123187_SvdB12h-2-3-Tomo-20um-E8p75MouseEmbryo2-Plate2-Run1_cbc_trimmed_star_spliced.coutb.tsv.gz(1MB), GSE123187_SvdB12h-2-3-Tomo-20um-E8p75MouseEmbryo2-Plate2-Run1_cbc_trimmed_star_spliced.coutc.tsv.gz(1MB), GSE123187_SvdB12h-2-3-Tomo-20um-E8p75MouseEmbryo2-Plate2-Run1_cbc_trimmed_star_spliced.coutt.tsv.gz(2MB), GSE123187_SvdB12h-2-4-Tomo-20um-E8p75MouseEmbryo2-Plate3-Run1_cbc_trimmed_star_spliced.coutb.tsv.gz(990KB), GSE123187_SvdB12h-2-4-Tomo-20um-E8p75MouseEmbryo2-Plate3-Run1_cbc_trimmed_star_spliced.coutc.tsv.gz(949KB), GSE123187_SvdB12h-2-4-Tomo-20um-E8p75MouseEmbryo2-Plate3-Run1_cbc_trimmed_star_spliced.coutt.tsv.gz(2MB), GSE123187_SvdB13a1-1-Tomo-120hAA-hGstrlds10-19052018-ChiSB43_cbc_trimmed_star_ie2_spliced.coutb.tsv.gz(1MB), GSE123187_SvdB13a1-1-Tomo-120hAA-hGstrlds10-19052018-ChiSB43_cbc_trimmed_star_ie2_spliced.coutc.tsv.gz(1MB), GSE123187_SvdB13a1-1-Tomo-120hAA-hGstrlds10-19052018-ChiSB43_cbc_trimmed_star_ie2_spliced.coutt.tsv.gz(3MB), GSE123187_SvdB13a1-2-Tomo-120hAA-hGstrlds79-19052018-ChiSB43_cbc_trimmed_star_ie2_spliced.coutb.tsv.gz(1MB), GSE123187_SvdB13a1-2-Tomo-120hAA-hGstrlds79-19052018-ChiSB43_cbc_trimmed_star_ie2_spliced.coutc.tsv.gz(1MB), GSE123187_SvdB13a1-2-Tomo-120hAA-hGstrlds79-19052018-ChiSB43_cbc_trimmed_star_ie2_spliced.coutt.tsv.gz(3MB)|development,reproduction,plant_biology,cell_stress|Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids|three-dimensional aggregates embryonic stem cells ESCs display key features mammalian post-implantation development germ layer specification axial organization mostly characterized microscopy-based|
GSE111672|spatial|Homo sapiens|23|GSE111672_1000L3_barcodes.txt.gz(9KB), GSE111672_inDrop_gel_barcode1_list.txt.gz(1KB), GSE111672_inDrop_gel_barcode2_list.txt.gz(1KB), GSE111672_LP_slide.batch_10001.version2.txt.gz(8KB), GSE111672_PDAC-A-indrop-filtered-expMat.txt.gz(4MB), GSE111672_PDAC-B-indrop-filtered-expMat.txt.gz(3MB), GSE111672_RAW.tar(715MB), GSE111672_README.rtf(3KB)|cancer,immunology|Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas|sequencing scRNA-seq enables systematic identification populations characterizing organization challenging combine method patterns gene expression spots capturing transcriptomes multiple adjacent|
GSE153424|spatial|Mus musculus|37|GSE153424_RAW.tar(1.3GB)|neuroscience,development|Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics|mammalian contains many specialized cells develop thin sheet neuroepithelial progenitor hundreds molecularly diverse types nervous system lineage relationships mature understood vivo barcoding early|
GSE144239|spatial|Homo sapiens|16|GSE144239_RAW.tar(222MB), GSE144239_ST_all_counts.txt.gz(9MB), GSE144239_ST_barcode_id.txt.gz(17KB), GSE144239_ST_Visium_counts.txt.gz(11MB)|cancer,aging,skin|Single Cell and Spatial Analysis of Human Squamous Cell Carcinoma [ST]|define cellular composition architecture tumor micoenvironment combined single-cell RNA-sequencing transcriptomics multiplexed ion-beam imaging patient cutaneous tumors site-matched normal skin|
